0	1
0	2
0	3
0	4
0	5
0	6
0	7
0	8
0	9
0	10
0	11
0	12
0	13
0	15
0	16
0	18
0	19
0	20
0	21
0	22
0	23
0	24
0	25
0	26
0	29
0	30
0	31
0	32
0	34
0	35
0	36
0	37
0	38
0	41
0	42
0	44
0	45
0	46
0	47
0	48
0	49
0	50
0	51
0	53
0	54
0	55
0	56
0	57
0	61
0	62
0	64
0	65
0	66
0	67
0	68
0	69
0	71
0	73
0	75
0	76
0	77
0	78
0	79
0	80
0	81
0	82
0	84
0	85
0	86
0	88
0	89
0	91
0	92
0	93
0	94
0	96
0	97
0	98
1	2
1	3
1	5
1	6
1	10
1	13
1	14
1	16
1	17
1	20
1	25
1	27
1	31
1	33
1	37
1	39
1	40
1	46
1	53
1	56
1	59
1	66
1	70
1	82
1	87
1	88
1	92
1	95
2	9
2	11
2	18
2	23
2	27
2	28
2	32
2	41
2	47
2	48
2	61
2	74
2	81
2	83
2	84
2	90
2	91
3	4
3	7
3	8
3	12
3	21
3	22
3	60
3	75
3	77
3	97
3	99
4	19
4	45
4	57
4	64
4	85
4	93
4	98
5	42
5	51
5	54
5	62
5	68
5	73
5	79
5	80
5	86
5	94
5	96
6	15
6	26
6	52
6	70
7	34
7	60
7	99
8	50
8	55
8	71
8	76
8	78
9	24
9	43
9	58
9	83
9	90
10	33
10	87
11	28
11	74
12	29
12	72
13	14
13	59
13	95
14	17
14	67
15	52
16	30
17	40
17	63
20	35
23	89
24	36
24	43
24	58
26	49
29	72
32	44
34	38
34	65
37	39
40	63
47	69
