0	1
0	2
0	3
0	4
0	5
0	7
0	8
0	9
0	10
0	13
0	14
0	15
0	16
0	18
0	19
0	20
0	21
0	22
0	25
0	29
0	32
0	33
0	35
0	44
0	46
0	49
0	50
0	59
0	61
0	63
0	67
0	69
0	70
0	77
0	84
0	86
0	93
0	94
0	95
0	99
1	2
1	3
1	5
1	6
1	8
1	11
1	12
1	24
1	26
1	27
1	30
1	31
1	36
1	38
1	40
1	41
1	42
1	43
1	45
1	48
1	54
1	55
1	56
1	60
1	66
1	74
1	75
1	81
1	83
1	92
1	97
1	98
2	4
2	7
2	10
2	14
2	18
2	22
2	25
2	29
2	32
2	34
2	35
2	44
2	49
2	50
2	59
2	67
2	69
2	77
2	86
2	95
2	99
3	6
3	12
3	24
3	26
3	30
3	31
3	38
3	40
3	43
3	54
3	74
3	85
3	88
3	97
4	9
5	13
5	16
5	17
5	23
5	53
5	62
5	64
5	65
5	79
6	11
6	27
6	41
6	48
6	60
6	75
6	83
6	92
6	98
7	15
7	61
7	63
7	84
8	19
8	21
8	51
8	57
8	58
8	70
8	72
8	78
8	80
8	87
8	89
8	91
11	36
11	45
11	56
11	81
12	85
13	28
13	37
13	39
13	68
13	71
13	73
13	76
13	82
14	34
15	20
15	33
15	46
16	17
16	52
16	62
16	64
16	79
16	90
16	96
17	23
17	28
17	47
17	52
17	53
17	76
17	90
17	96
18	93
19	78
19	80
19	89
19	91
21	51
21	72
21	87
23	65
28	37
28	47
28	82
31	88
36	66
37	39
37	68
38	42
39	71
40	55
51	57
51	58
68	73
84	94
